Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,4,asymmetric,0.01,0.2773771721493149
75% Corpus,4,asymmetric,0.31,0.2806728373209109
75% Corpus,4,asymmetric,0.61,0.27311986909900904
75% Corpus,4,asymmetric,0.9099999999999999,0.29131516848509675
75% Corpus,4,asymmetric,symmetric,0.27649520415868734
75% Corpus,5,0.01,0.01,0.28896320027019795
75% Corpus,5,0.01,0.31,0.28700945755678575
75% Corpus,5,0.01,0.61,0.2758876466625889
75% Corpus,5,0.01,0.9099999999999999,0.287895249703958
75% Corpus,5,0.01,symmetric,0.2882571403605028
75% Corpus,5,0.31,0.01,0.2934955710959783
75% Corpus,5,0.31,0.31,0.29820202094655696
75% Corpus,5,0.31,0.61,0.27156921001984513
75% Corpus,5,0.31,0.9099999999999999,0.28634478754005305
75% Corpus,5,0.31,symmetric,0.2939452410982476
75% Corpus,5,0.61,0.01,0.2980119230515298
75% Corpus,5,0.61,0.31,0.28966667297294535
75% Corpus,5,0.61,0.61,0.2766987945114791
75% Corpus,5,0.61,0.9099999999999999,0.27669879451147905
75% Corpus,5,0.61,symmetric,0.2922726339851758
75% Corpus,5,0.9099999999999999,0.01,0.30178407392598305
75% Corpus,5,0.9099999999999999,0.31,0.30065699319887595
75% Corpus,5,0.9099999999999999,0.61,0.27169837016453907
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.27669879451147905
75% Corpus,5,0.9099999999999999,symmetric,0.299820739149106
75% Corpus,5,symmetric,0.01,0.29097452366920606
75% Corpus,5,symmetric,0.31,0.28519093719463584
75% Corpus,5,symmetric,0.61,0.27156921001984513
75% Corpus,5,symmetric,0.9099999999999999,0.28142725131983365
75% Corpus,5,symmetric,symmetric,0.28779689820686627
75% Corpus,5,asymmetric,0.01,0.29046122783978695
75% Corpus,5,asymmetric,0.31,0.29998577405683935
75% Corpus,5,asymmetric,0.61,0.27365028947990194
75% Corpus,5,asymmetric,0.9099999999999999,0.277222441970789
75% Corpus,5,asymmetric,symmetric,0.28884293837857095
75% Corpus,6,0.01,0.01,0.30905429569835824
75% Corpus,6,0.01,0.31,0.29678297688495975
75% Corpus,6,0.01,0.61,0.2889642794248388
