Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,9,0.31,0.9099999999999999,0.3130043746761219
100% Corpus,9,0.31,symmetric,0.30629245435385016
100% Corpus,9,0.61,0.01,0.30780999608174436
100% Corpus,9,0.61,0.31,0.3261867227971848
100% Corpus,9,0.61,0.61,0.3390152468175435
100% Corpus,9,0.61,0.9099999999999999,0.34467734557605234
100% Corpus,9,0.61,symmetric,0.31717229740089103
100% Corpus,9,0.9099999999999999,0.01,0.29890906330479783
100% Corpus,9,0.9099999999999999,0.31,0.3150743630340789
100% Corpus,9,0.9099999999999999,0.61,0.33294008108174206
100% Corpus,9,0.9099999999999999,0.9099999999999999,0.35856033517175784
100% Corpus,9,0.9099999999999999,symmetric,0.3152274017864707
100% Corpus,9,symmetric,0.01,0.2927934419387532
100% Corpus,9,symmetric,0.31,0.321469743724947
100% Corpus,9,symmetric,0.61,0.31123626077497885
100% Corpus,9,symmetric,0.9099999999999999,0.3018633838590063
100% Corpus,9,symmetric,symmetric,0.30503731516261917
100% Corpus,9,asymmetric,0.01,0.30927522710373617
100% Corpus,9,asymmetric,0.31,0.31559487452970075
100% Corpus,9,asymmetric,0.61,0.36356306071496014
100% Corpus,9,asymmetric,0.9099999999999999,0.3283270288532702
100% Corpus,9,asymmetric,symmetric,0.30431513444793246
100% Corpus,10,0.01,0.01,0.3274841684700683
100% Corpus,10,0.01,0.31,0.33814498471753424
100% Corpus,10,0.01,0.61,0.33755497048573346
100% Corpus,10,0.01,0.9099999999999999,0.3155260270434596
100% Corpus,10,0.01,symmetric,0.32973830602020393
100% Corpus,10,0.31,0.01,0.34112104907599444
100% Corpus,10,0.31,0.31,0.32779073649836155
100% Corpus,10,0.31,0.61,0.33067032877697045
100% Corpus,10,0.31,0.9099999999999999,0.332026652872743
100% Corpus,10,0.31,symmetric,0.3365411824300928
100% Corpus,10,0.61,0.01,0.3301952167637994
100% Corpus,10,0.61,0.31,0.32434426223542295
100% Corpus,10,0.61,0.61,0.33154383064010134
100% Corpus,10,0.61,0.9099999999999999,0.35734452063653704
100% Corpus,10,0.61,symmetric,0.3300558463790608
100% Corpus,10,0.9099999999999999,0.01,0.3343759164947089
100% Corpus,10,0.9099999999999999,0.31,0.3331772334600343
100% Corpus,10,0.9099999999999999,0.61,0.3247991779225522
100% Corpus,10,0.9099999999999999,0.9099999999999999,0.3533688021359677
100% Corpus,10,0.9099999999999999,symmetric,0.3387658903181847
100% Corpus,10,symmetric,0.01,0.33062173960198327
100% Corpus,10,symmetric,0.31,0.3301144797341543
100% Corpus,10,symmetric,0.61,0.32693753456883873
100% Corpus,10,symmetric,0.9099999999999999,0.32636907365817786
100% Corpus,10,symmetric,symmetric,0.32914210719586673
100% Corpus,10,asymmetric,0.01,0.3417562590961939
100% Corpus,10,asymmetric,0.31,0.3430924263335675
100% Corpus,10,asymmetric,0.61,0.36567572846338237
100% Corpus,10,asymmetric,0.9099999999999999,0.37503379388121394
100% Corpus,10,asymmetric,symmetric,0.34567561671789154
